"","PlayerId","yr","TmAbbrev","G","A","Hits","Blocked","Missed","SOG","Wrist","Snap","Tip","Back","Slap","Deflected"
"873","8474722","2014","TBL",0,0,29,19,4,9,5,1,0,1,2,0
"874","8473466","2014","PHI",4,6,79,13,11,28,17,4,3,0,3,1
"875","8475723","2014","PHI",0,2,3,0,1,2,1,0,0,0,0,1
"876","8475774","2014","TOR",0,0,15,6,0,1,1,0,0,0,0,0
"877","8475755","2014","FLA",0,2,55,30,7,24,10,1,0,0,13,0
"878","8475252","2014","BUF",0,0,0,0,0,0,0,0,0,0,0,0
"879","8477589","2014","VAN",5,5,69,7,12,33,29,0,1,1,2,0
"880","8476289","2014","DET",1,1,10,8,4,5,1,2,0,0,2,0
"881","8475839","2014","ARI",0,0,0,0,0,0,0,0,0,0,0,0
"882","8477913","2014","CGY",0,0,9,0,2,1,1,0,0,0,0,0
"883","8475254","2014","MTL",0,0,8,2,0,4,3,0,1,0,0,0
"884","8476427","2014","STL",0,2,15,3,3,8,6,0,0,1,1,0
"885","8475619","2014","WSH",0,0,3,1,2,1,0,1,0,0,0,0
"886","8477455","2014","MTL",3,2,78,26,15,44,28,2,3,2,9,0
"887","8474000","2014","FLA",1,1,34,23,14,19,11,3,0,1,4,0
"888","8475206","2014","COL",0,0,2,5,3,10,8,1,0,0,1,0
"889","8476549","2014","SJS",0,1,2,1,1,5,5,0,0,0,0,0
"890","8476234","2014","NJD",0,0,0,0,0,0,0,0,0,0,0,0
"891","8470719","2014","ARI",0,0,8,1,0,0,0,0,0,0,0,0
"892","8476158","2014","NYI",0,0,6,1,0,1,1,0,0,0,0,0
"893","8474616","2014","WPG",0,0,1,0,0,0,0,0,0,0,0,0
"894","8472424","2014","EDM",1,1,18,9,3,8,1,2,3,1,0,1
"895","8477451","2014","CHI",0,0,6,1,0,6,4,0,0,2,0,0
"896","8471879","2014","CHI",0,0,2,10,5,5,1,1,0,0,3,0
"897","8476162","2014","WSH",0,0,2,0,0,1,1,0,0,0,0,0
"898","8476386","2014","OTT",0,1,2,0,2,2,2,0,0,0,0,0
"899","8473415","2014","VAN",1,0,24,5,6,2,0,0,0,0,2,0
"900","8474688","2014","MTL",0,3,59,21,4,16,3,3,0,0,10,0
"901","8475896","2014","DAL",0,0,2,0,1,0,0,0,0,0,0,0
"902","8476363","2014","BOS",0,1,17,0,2,6,3,1,2,0,0,0
"903","8476876","2014","BOS",0,0,0,0,0,0,0,0,0,0,0,0
"904","8475159","2014","WPG",0,0,2,0,0,0,0,0,0,0,0,0
"905","8476477","2014","OTT",2,1,4,1,5,10,5,2,0,3,0,0
"906","8477202","2014","OTT",0,1,0,0,0,0,0,0,0,0,0,0
"907","8477851","2014","EDM",0,1,1,2,4,5,1,0,0,0,4,0
"908","8476799","2014","WSH",0,0,3,1,2,1,0,1,0,0,0,0
"909","8476147","2014","NYI",1,1,8,2,1,0,0,0,0,0,0,0
"910","8470798","2014","ARI",0,0,2,2,1,3,1,1,0,0,1,0
"911","8477486","2014","CGY",0,1,6,1,2,1,1,0,0,0,0,0
"912","8475715","2014","NYR",0,0,3,0,0,2,2,0,0,0,0,0
"913","8476931","2014","BUF",0,0,1,0,1,2,0,0,0,1,1,0
"914","8476868","2014","ARI",0,0,5,0,1,4,2,1,0,1,0,0
"915","8475253","2014","FLA",0,0,2,0,0,4,2,0,0,1,1,0
"916","8470714","2014","CGY",0,0,6,6,2,3,0,1,0,0,2,0
"917","8459670","2014","CHI",0,0,33,26,2,16,7,1,0,0,8,0
"918","8475309","2014","BUF",0,0,5,7,1,3,1,0,0,2,0,0
"919","8475767","2014","COL",1,1,2,7,5,15,10,1,0,4,0,0
"920","8475294","2014","CAR",0,0,22,5,1,3,2,0,0,0,1,0
"921","8474603","2014","WPG",0,1,10,0,3,6,2,3,0,1,0,0
"922","8473614","2014","EDM",0,0,0,0,0,0,0,0,0,0,0,0
"923","8476434","2014","ANA",0,0,0,0,0,0,0,0,0,0,0,0
"924","8474609","2014","CBJ",0,0,1,0,0,0,0,0,0,0,0,0
"925","8474748","2014","TOR",0,0,23,12,2,3,1,1,0,0,1,0
"926","8474113","2014","TOR",0,1,2,5,3,11,6,1,0,0,4,0
"927","8471916","2014","TBL",0,0,4,0,0,0,0,0,0,0,0,0
"928","8468540","2014","FLA",0,0,0,0,0,0,0,0,0,0,0,0
"929","8472368","2014","WSH",0,0,0,0,0,2,1,0,1,0,0,0
"930","8476393","2014","PHI",0,0,10,3,1,5,2,1,0,1,1,0
"931","8475732","2014","CAR",0,1,23,4,2,6,4,1,0,0,1,0
"932","8470065","2014","CBJ",0,0,1,0,0,1,0,0,0,1,0,0
"933","8478042","2014","NSH",0,0,2,5,5,9,6,0,0,1,2,0
"934","8477249","2014","EDM",1,5,7,6,5,9,3,2,2,1,1,0
"935","8476870","2014","NJD",0,0,14,1,1,6,1,1,0,3,1,0
"936","8475224","2014","ARI",1,0,5,9,0,7,4,1,0,1,1,0
"937","8477942","2014","NSH",0,0,1,1,0,5,5,0,0,0,0,0
"938","8478376","2014","TOR",0,0,2,3,1,4,1,1,0,1,1,0
"939","8476886","2014","TBL",0,0,2,3,1,6,3,2,0,0,1,0
"940","8476166","2014","SJS",0,4,0,8,4,8,3,0,0,2,3,0
"941","8476474","2014","ANA",0,0,0,1,1,0,0,0,0,0,0,0
"942","8476426","2014","EDM",0,2,5,8,1,3,2,1,0,0,0,0
"943","8475157","2014","DET",1,0,17,6,2,13,8,2,0,2,0,1
"944","8478393","2014","CHI",0,0,12,0,4,4,4,0,0,0,0,0
"945","8475816","2014","WSH",1,0,3,0,1,1,1,0,0,0,0,0
"946","8475243","2014","NYR",0,0,0,0,2,1,0,1,0,0,0,0
"947","8476397","2014","CAR",0,0,3,4,0,0,0,0,0,0,0,0
"948","8477127","2014","NJD",0,0,1,3,0,0,0,0,0,0,0,0
"949","8475734","2014","EDM",0,0,4,1,0,0,0,0,0,0,0,0
"950","8474516","2014","SJS",1,0,3,0,1,7,1,3,0,1,2,0
"951","8477244","2014","BUF",0,0,1,0,0,1,1,0,0,0,0,0
"952","8475829","2014","CGY",0,0,2,1,0,4,3,0,0,0,1,0
"953","8477935","2014","CGY",3,2,15,0,8,18,11,1,3,2,0,1
"954","8477429","2014","WPG",0,1,0,0,0,4,0,1,0,1,2,0
"955","8476967","2014","CGY",0,0,0,0,0,0,0,0,0,0,0,0
"956","8476452","2014","CGY",0,0,2,4,1,3,2,0,0,0,1,0
"957","8474184","2014","WPG",0,1,1,1,0,0,0,0,0,0,0,0
"958","8473921","2014","NSH",0,0,0,2,1,0,0,0,0,0,0,0
"959","8476464","2014","COL",0,0,2,0,0,0,0,0,0,0,0,0
"960","8476394","2014","CHI",0,1,0,2,1,2,1,0,0,0,1,0
"961","8476293","2014","PIT",0,0,6,1,0,3,3,0,0,0,0,0
"962","8475831","2014","WSH",0,0,0,0,0,0,0,0,0,0,0,0
"963","8476429","2014","NYI",0,0,9,3,0,1,1,0,0,0,0,0
